"Name","Receptions","Yards","Average","Avrage/Game","Long","TD","20+","40+","1st","1st%","Fumbles"
"Adam Humphries",76.,816.,10.7,51.,51.,5.,7.,1.,48.,63.2,0.
"Adam Thielen",113.,1373.,12.2,85.8,68.,9.,17.,3.,74.,65.5,1.
"A.J. Green",46.,694.,15.1,77.1,38.,6.,12.,0.,37.,80.4,2.
"Albert Wilson",26.,391.,15.,55.9,75.,4.,7.,3.,11.,42.3,0.
"Aldrick Robinson",17.,231.,13.6,16.5,40.,5.,2.,1.,12.,70.6,0.
"Alex Erickson",20.,167.,8.4,10.4,28.,0.,1.,0.,7.,35.,0.
"Allen Hurns",20.,295.,14.8,18.4,49.,2.,6.,1.,11.,55.,1.
"Allen Robinson",55.,754.,13.7,58.,43.,4.,11.,1.,36.,65.5,1.
"Alshon Jeffery",65.,843.,13.,64.8,52.,6.,9.,2.,48.,73.8,1.
"Amari Cooper",53.,725.,13.7,80.6,90.,6.,6.,3.,39.,73.6,2.
"Andre Holmes",1.,5.,5.,1.7,5.,0.,0.,0.,1.,100.,0.
"Andre Roberts",10.,79.,7.9,4.9,20.,1.,1.,0.,4.,40.,0.
"Antonio Brown",104.,1297.,12.5,86.5,78.,15.,17.,6.,63.,60.6,0.
"Bennie Fowler",16.,199.,12.4,19.9,26.,1.,3.,0.,12.,75.,1.
"Bobo Wilson",4.,52.,13.,10.4,25.,0.,1.,0.,2.,50.,0.
"Brandin Cooks",80.,1204.,15.1,75.2,57.,5.,22.,4.,56.,70.,1.
"Brandon LaFell",12.,135.,11.3,22.5,24.,2.,1.,0.,9.,75.,0.
"Breshad Perriman",16.,340.,21.3,34.,66.,2.,4.,2.,13.,81.3,0.
"Brian Quick",3.,18.,6.,3.,6.,0.,0.,0.,2.,66.7,0.
"Brice Butler",6.,60.,10.,10.,23.,1.,1.,0.,4.,66.7,0.
"Bruce Ellington",23.,132.,5.7,33.,21.,0.,1.,0.,9.,39.1,0.
"Chad Williams",17.,171.,10.1,17.1,22.,1.,1.,0.,9.,52.9,0.
"Charone Peake",2.,25.,12.5,1.9,14.,0.,0.,0.,2.,100.,0.
"Chester Rogers",53.,485.,9.2,30.3,34.,2.,5.,0.,28.,52.8,0.
"Chris Conley",32.,334.,10.4,20.9,27.,5.,4.,0.,18.,56.3,2.
"Chris Godwin",59.,842.,14.3,52.6,48.,7.,10.,1.,48.,81.4,4.
"Chris Hogan",35.,532.,15.2,33.2,63.,3.,11.,2.,22.,62.9,0.
"Chris Moore",19.,196.,10.3,12.2,30.,1.,3.,0.,8.,42.1,0.
"Cody Core",13.,160.,12.3,11.4,30.,1.,2.,0.,7.,53.8,0.
"Cody Latimer",11.,190.,17.3,31.7,39.,1.,4.,0.,6.,54.5,0.
"Cole Beasley",65.,672.,10.3,42.,32.,3.,3.,0.,39.,60.,0.
"Cooper Kupp",40.,566.,14.2,70.8,70.,6.,9.,3.,25.,62.5,0.
